一年级
fan 扇子，电扇[fæn] 
classmate 同学['klɑ:smeit]
seat 座位[si:t]
what 什么[hwɔt] 
notebook 笔记本['nəutbuk] 
fat 胖的[fæt] 
heavy 重的;沉重的['hevi] 
may 可以[mei]
thin 瘦的[θin]
strong 健壮的[strɔŋ 
quiet 安静的['kwaiət] 
his 他的[hiz]
photo 照片['fəutəu] 
teacher 教师['ti:tʃə] 
student 学生['stju:dənt]
music 音乐['mju:zik] 
science 科学['saiəns] 
sports 体育运动[spɔ:ts]
painting 绘画['peintiŋ] 
boy 男孩[bɔi]
girl 女孩[ɡə:l] 
bathroom 卫生间['bɑ:θrum] 
bedroom 卧室['bedrum]
kitchen 厨房['kitʃin] 
fridge 冰箱[fridʒ] 
key 钥匙[ki:]
desk 课桌;书桌[desk] 
rice 米饭[rais] 
noodle 面条['nu:dl]
beef 牛肉[bi:f] 
vegetable 蔬菜['vedʒitəbl] 
soup 汤[su:p]
hungry 饥饿的['hʌŋɡri] 
chopsticks 筷子(复数)['tʃɔpstiks]
spoon 勺子[spu:n] 
plate 盘子[pleit] 
fork 叉子[fɔ:k]
pass 传递[pɑ:s] 
try 试一下[trai]
show 展示[ʃəu] 
food 食物[fu:d] 
parents 父母['pєərənts]
uncle 叔叔;舅舅['ʌŋkl] 
aunt 姑姑;婶;姨[ɑ:nt] 
member 成员['membə]
only 只有;仅仅['əunli] 
puppy 小狗['pʌpi] 
sister 姐妹['sistə]
brother 兄弟['brʌðə] 
father 父亲;爸爸['fɑ:ðə] 
driver 司机[draivə]
farmer 农民['fɑ:mə] 
nurse 护士[nə:s] 
it 它 [it]
class 课程[klɑ:s] 
dress 连衣裙[dres] 
T-shirt T恤衫
no 不;不是[nəu] 
not 不;不是的[nɔt] 
warm 暖和的[wɔ:m]
cold 寒冷的[kəuld] 
cool 凉爽的[ku:l] 
jean 牛仔裤[dʒein] 
pant 长裤[pænt] 
socks 袜子[sɔks]
shoes 鞋子[ʃu:s] 
snowy 下雪的['snəui] 
sunny 晴朗的['sʌni]
banana 香蕉[bə'nɑ:nə] 
pear 梨[pεə] 
watermelon 西瓜['wɔ:təmelən
horse 马[hɔ:s] 
Monday 星期一['mʌndi]
Tuesday 星期二 ['tju:zdi ] 
Wednesday 星期三['wenzdei ] 
Thursday ] 星期四['θə:zdi]
Friday 星期五 ['fraidi] 
Saturday 星期六 ['sætədi] 
Sunday 星期天 ['sʌndi]

三年级
rule 尺子  
schoolbag 书包  
magazine 杂志 
dictionary 词典
hair 头发 
ant 蚂蚁 
fish 鱼 
eagle 鹰 
beaver 海狸 
snake 蛇 
kangaroo 袋鼠 
deer 鹿 
giraffe 长颈鹿 
goosr 鹅 
hen 母鸡 
turkey 火鸡 
lamb 小羊 
sheep 绵羊 
goat 山羊 
donkey 驴 
squid 鱿鱼 
lobster 龙虾 
shark 鲨鱼 
seal 海豹 
friend 朋友 
mother 母亲 
man 男人 
woman 女人 
lady 女士；小姐 
mom 妈妈 
dad 爸爸 
grandma/grandmother（外）祖母 
grandpa/grandfather（外）祖父 
cousin 堂（表）兄弟；堂（表）姐妹 
kid 小孩 
queen 女王 
visitor 参观者 
neighbour 邻居 
principal 校长 
tourist 旅行者 
rober 机器人
singer 歌唱家
writer 作家 
actor 男演员 
actress 女演员 
artist 画家  
engineer 工程师 
accountant 会计 
policeman 警察 
saleperson 销售员 
cleaner 清洁工 
assistant 售货员
tofu 豆腐 
cookie 曲奇饼 
biscuit 饼干 
jam 果酱
meat 肉 
pork 猪肉 
mutton 羊肉 
salad 沙拉 
ice 冰 
ice-cream 冰淇淋 
dinner 正餐
grape 葡萄 
eggplant 茄子 
tomato 西红柿 
potato 土豆 
peach 桃 
strawberry 草莓 
cucmber 黄瓜 
onion 洋葱 
carrot 胡萝卜 
cabbage 卷心菜
jeans 牛仔裤 
pants 长裤 
sweater 毛衣 
raincoat 雨衣 
shorts 短裤 
sneakers 运动鞋 
slippers 拖鞋 
sandals 凉鞋 
boots 靴子 
hat 帽子 
tei 领带 
gloves 手套 
bike 自行车 
bus 公共汽车 
train 火车 
ship 轮船 
yacht 快艇 
taxi 出租车 
jeep 吉普车 
van 小货车；面包车 
subway 地铁 
motorcycle 摩托车
bed 床 
board 木板 
curtain 窗帘 
closet 壁橱 
mirror 镜子 
present 礼物 
walkman 随身听 
lamp 台灯 
phone 电话 
sofa 沙发 
shelf 书架 
air-conditioner 空调 
lock 锁 
chart 图表 
pot 锅 
gift 礼物 
zipper 拉链 
violin 小提琴 
yo-yo 溜溜球 
nest 鸟窝 
hole 洞 
tube 管子 
toothbrush 牙刷 
menu 菜单 
e-card 电子卡片 
e-mail 电子邮件  
medicine 药 
sunglasses 太阳镜
library 图书馆  
hospital 医院 
cineama 电影院  
bookstore 书店   
farm 农场   
garden 花园  
study 书房    
canteen 食堂    
gym 体育馆   
wsahroom 卫生间 
flat  公寓    
company 公司       
supermarket 超市    
bank 银行    
country 国家    
village 乡村    
city 城市
America/USA 美国 
UK 联合王国 
England 英国 
Canada 加拿大 
Australia 澳大利亚 
London 伦敦 
Sydney 悉尼 
Moscow 莫斯科 
Cairo 开罗
hot 火热的 
rainy 下雨的 
windy 有风的 
cloudy 多云的 
stream 河;溪 
forest 森林 
path 小道 
road 公路 
bridge 桥 
building 建筑物 
cloud 云 
sun 太阳 
rainbow 彩虹 
wind 风 
grass 草 
seed 种子  
sprout 苗  
rose 玫瑰 
leaf 叶子
weekend 周末
January 一月  
February 二月   
March 三月  
April 四月  
May 五月 
June 六月   
July 七月
August 八月
September 九月  
October 十月    
November 十一月  
December 十二月
spring 春  
summer 夏   
autumn 秋  
winter 冬天
south 南  
north 北  
east 东  
west 西   
left 左  
right 右
thirteen 十三    
fourteen 十四   
fifteen 十五  
sixteen 十六  
seventeen 十七   
eighteen 十八  
forty 四十  
fifty 五十 
sixty 六十  
seventy 七十   
eighty 八十   
ninety 九十   
hundred 百  
first 第一  
second 第二  
third 第三   
fourth 第四   
fifth 第五  
eighth 第八   
ninth 第九  
twelfth 第十二  
twentieth 第二十
active 积极的；活跃的 
nice 好看的 
kind 和蔼可亲的   
strict 严格的   
smart 聪明的  
funny 滑稽可笑的  
tasty 好吃的   
sweet 甜的  
salty 咸的  
sour 酸的  
fresh 新鲜的  
favourite 最喜爱的  
tired 疲劳的  
excited 兴奋的 
angry 生气的 
happy 高兴的 
bored 无聊的 
sad 忧愁的  
taller 更高的  
shorter  更矮的 
stronger  更强壮的 
older 年龄更大的   
younger 更年轻的  
bigger 更大的 
heavier 更重的 
longer 更长的  
thinner 更瘦的   
smaller 更小的  
fine 好的   
great 很好的  
cute 逗人喜爱的   
little 小的  
lovely 可爱的  
beautiful 漂亮的  
